AirportCode,iata_code
KLAX,LAX
KORD,ORD
KJFK,JFK
KATL,ATL
KSFO,SFO
KEWR,EWR
KDFW,DFW
KLAS,LAS
KDEN,DEN
KMCO,MCO
KLGA,LGA
KIAD,IAD
KMIA,MIA
KPHX,PHX
KBOS,BOS
KSEA,SEA
KPHL,PHL
KIAH,IAH
KCLT,CLT
KDTW,DTW
KDCA,DCA
KMSP,MSP
KSLC,SLC
KMDW,MDW
KSAN,SAN
KFLL,FLL
KBWI,BWI
KSTL,STL
PHNL,HNL
KPDX,PDX
KMSY,MSY
KCVG,CVG
KTPA,TPA
KBNA,BNA
KPIT,PIT
KAUS,AUS
KSJC,SJC
KOAK,OAK
KRDU,RDU
KMEM,MEM
KMCI,MCI
KSAT,SAT
KSNA,SNA
KHOU,HOU
KCLE,CLE
KDAL,DAL
KIND,IND
KABQ,ABQ
KMKE,MKE
KCMH,CMH
KTUS,TUS
KBDL,BDL
KJAX,JAX
KBUF,BUF
PANC,ANC
KOKC,OKC
KELP,ELP
KSMF,SMF
PHOG,OGG
KOMA,OMA
KPBI,PBI
KBUR,BUR
KRNO,RNO
KPVD,PVD
KORF,ORF
KLGB,LGB
KSDF,SDF
KCHS,CHS
KSAV,SAV
KRIC,RIC
KBHM,BHM
KBOI,BOI
KONT,ONT
KALB,ALB
KSYR,SYR
KHPN,HPN
KOSH,OSH
PHKO,KOA
KGEG,GEG
KTUL,TUL
KICT,ICT
KDSM,DSM
KGRR,GRR
KDAY,DAY
KRSW,RSW
KROC,ROC
KLIT,LIT
KMSN,MSN
KCOS,COS
KPWM,PWM
KMHT,MHT
KPSP,PSP
KTYS,TYS
KPNS,PNS
KSBA,SBA
KBTV,BTV
KTLH,TLH
KBFI,BFI
KEYW,EYW
KLEX,LEX
KMRY,MRY
KGSO,GSO
KTEB,TEB
KVGT,VGT
KLBB,LBB
KRAP,RAP
KGSP,GSP
KCAK,CAK
KDAB,DAB
KSRQ,SRQ
KFAT,FAT
PHLI,LIH
KBGR,BGR
KPIE,PIE
KCHA,CHA
KMDT,MDT
KSMO,SMO
KVNY,VNY
KAMA,AMA
KNEW,NEW
KPDK,PDK
KSAF,SAF
KMYF,MYF
KAVL,AVL
KCAE,CAE
KGRB,GRB
KCHO,CHO
KAPA,APA
KFXE,FXE
KHSV,HSV
KSFB,SFB
KSBN,SBN
KBLI,BLI
KJAC,JAC
KISM,ISM
KSGF,SGF
PHTO,ITO
KSDL,SCF
KBIL,BIL
KGNV,GNV
KSEZ,SDX
KMYR,MYR
KSBP,SBP
KCID,CID
KCMA,
KORL,ORL
KISP,ISP
KSWF,SWF
KEUG,EUG
KLAL,LAL
KSTS,STS
KAPC,APC
KPAO,PAO
KFWA,FWA
KMOB,MOB
KSAC,SAC
KCRQ,CLD
KCCR,CCR
KFAR,FAR
KPRC,PRC
