dest,dest_avg_dep_delay,dest_avg_taxi_out,dest_avg_wheels_off,dest_avg_wheels_on,dest_avg_taxi_in,dest_avg_arr_delay,dest_avg_crs_elapsed_time,dest_avg_actual_elapsed_time,dest_avg_air_time,dest_avg_carrier_delay,dest_avg_weather_delay,dest_avg_nas_delay,dest_avg_security_delay,dest_avg_late_aircraft_delay,dest_avg_total_add_gtime,dest_avg_longest_add_gtime
ABE,9.51017454235845,20.0786583808632,1507.55495020005,1613.60565539562,4.9022229793033,4.59250085411684,106.034766697164,101.577832806763,76.608658526172,23.4266727772686,5.8666361136572,10.7763519706691,0.0953253895508708,25.9216315307058,41.9868421052632,41.1973684210526
ABI,5.6977240398293,19.1046263345196,1655.55895610913,1699.38580246914,3.79582146248813,5.96550903901047,53.5898391983221,53.9153187440533,31.0475737392959,13.4369310793238,5.5370611183355,10.2769830949285,0.0403120936280884,24.1352405721717,35.2666666666667,35.2666666666667
ABQ,10.0541875580316,16.2677712353957,1465.14958114308,1527.49362572013,5.43664746329678,4.98125918895278,122.429225675924,117.296056427149,95.5970632572162,21.023130154517,2.22096881220969,7.14759692861883,0.11877903118779,25.2772774670585,33.2243346007605,32.6844106463878
ABR,10.7865397688647,20.211708645337,1652.39278420694,1691.53646898432,4.68984321745058,3.43668720054757,79.4384203480589,72.0547570157426,47.1649555099247,43.4593023255814,32.2383720930233,14.0988372093023,0.0,30.5872093023256,35.9411764705882,35.9411764705882
ABY,12.102,19.2259830761573,1586.33051269288,1638.78685258964,3.6394422310757,8.21378269617706,57.0816831683168,53.2134268537074,30.4283567134269,24.3151862464183,24.2406876790831,10.3553008595989,0.0401146131805158,20.3123209169054,25.0833333333333,25.0833333333333
ACK,16.3510511701706,22.3706349206349,1209.55317460317,1276.18102073365,6.99561403508772,9.27543224768798,78.1292413267251,71.3569131832797,42.0518488745981,30.1802325581395,15.7403100775194,10.4767441860465,0.0,39.6356589147287,42.96,41.36
ACT,4.4541312272175,18.8059701492537,1548.84221748401,1582.6118902439,3.68506097560976,3.52687843616371,43.864856889938,43.1273671350031,20.6380574221136,16.523166023166,4.7972972972973,7.54247104247104,0.0308880308880309,21.8359073359073,56.4,52.92
ACV,17.9052287581699,24.8382877526754,1555.36801426873,1593.21647624775,5.98135898977751,11.1234417756157,97.8033209275694,91.4104591061113,60.5834600182426,37.7496503496504,11.7818181818182,7.04895104895105,0.0,36.2405594405594,38.0333333333333,38.0333333333333
ACY,10.5587256300523,13.6389725701601,1577.03424766133,1645.85458293689,4.89010466222645,6.56217246307766,134.80554250822,130.980625694775,112.456249007464,12.1586582048957,3.24478694469628,37.6464188576609,0.242973708068903,26.8014505893019,27.8064516129032,27.8064516129032
ADK,-1.17085427135678,12.1407035175879,1422.07035175879,1598.46733668342,5.09045226130653,-7.95477386934673,189.951690821256,183.075376884422,165.844221105528,24.16,2.24,10.4,0.0,12.52,20.0,20.0
ADQ,-1.96557245796637,14.2820512820513,1140.07852564103,1207.78716490658,3.22989439480097,-0.689486552567237,58.5828750981932,60.1711491442543,42.7025264873676,15.7820512820513,8.57692307692308,7.07051282051282,0.0,8.15384615384615,14.8461538461538,14.8461538461538
AEX,6.29791761665907,19.620935885749,1533.02962625342,1579.55040291926,3.72038923521362,3.91592920353982,82.2137817144573,80.0146408418484,56.6797315845661,21.5306666666667,7.17777777777778,11.448,0.00977777777777778,20.7377777777778,38.2542372881356,38.2542372881356
AGS,9.30667846955838,20.1182362761465,1562.44515368752,1513.21310670073,5.01129887993712,6.43465405085748,61.7063384376817,58.9839487936977,33.879074347612,19.9532224532225,8.02702702702703,9.55405405405405,0.0888773388773389,25.9662162162162,38.0131578947368,36.6578947368421
AKN,-5.39516129032258,14.5,1562.81451612903,1643.92741935484,3.5,-2.16129032258065,61.6854838709677,64.9193548387097,46.9193548387097,7.66666666666667,0.0,11.1111111111111,0.0,11.0,4.0,4.0
ALB,13.92990972325,19.6983322965728,1503.12417429426,1524.4459591619,4.27759831668791,8.45377677564825,109.116225347232,104.137004183107,80.1596700981992,24.2860793544048,5.05353059852051,8.91257565568258,0.111499663752522,30.2168123739072,43.9778597785978,43.6088560885609
ALO,6.00150715900527,20.4675716440422,1639.58295625943,1696.10784313725,4.35444947209653,7.51476154428463,67.2,68.6850870552612,43.9061317183952,11.0174825174825,6.26223776223776,15.6083916083916,0.0,20.4160839160839,60.0,60.0
ALW,6.15288077581289,16.1689497716895,1639.63641552511,1708.05462909718,3.59286946520989,4.34024179620035,62.9615595826469,61.2993667242372,41.5273459988486,12.8603988603989,1.62108262108262,5.94586894586895,0.0313390313390313,21.025641025641,22.75,22.75
AMA,11.8682922641023,16.6471346335596,1497.27081364378,1589.38989759917,4.63824111522244,9.14387992754248,84.036974789916,81.6011386181316,60.3306305529199,22.3290774299835,4.82578253706755,8.24505766062603,0.0947281713344316,32.6375617792422,36.6626506024096,36.6626506024096
ANC,2.90493804806125,15.6876083525241,1456.29500349316,1435.27440933675,4.2740470460368,-1.74126363236018,188.84666496945,185.166377367289,165.212031711488,14.7414032650226,3.29749913164293,10.1794025703369,0.875303924973949,19.8308440430705,23.6160990712074,23.5108359133127
APN,8.83927091963546,16.5813953488372,1602.22508305648,1651.33862876254,4.9623745819398,1.90243902439024,58.8528938906752,52.632464255677,31.107653490328,19.7884615384615,25.5961538461538,12.9102564102564,0.108974358974359,49.974358974359,42.125,42.125
